symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
CD80,4,Abatacept,0.6011564389532422,1,0,0,0,0,0,0,No data,-0.010523025630339689,0,0,No data,No data,0,0.5,0.5,,,0.14842720783616317
IL1R1,4,Anakinra,0.558028731621419,1,1,1,1,1,0,0,No data,-0.49010210460512604,-0.9171605445779452,0,No data,No data,0,-1,-1,,,0.2968650723831926
JAK2,4,"Tofacitinib, Baricitinib, Upadacitinib",0.6747732880673082,1,1,0,1,1,1,0.6863950000000003,1,-0.7031673265263596,-0.8880652763329555,0,-1,-1,0,-1,-1,,,0.07588217788932697
JAK3,4,"Tofacitinib, Baricitinib, Upadacitinib",0.6154260040135918,1,1,0,1,1,1,0.1014249999999997,1,-0.4636382579704105,-0.8828158224280025,0,No data,-1,0,0.5,0,,,0.1147912505382469
CD86,4,Abatacept,0.6074883147167315,1,1,0,0,0,0,0,No data,-0.6971244009168577,-0.3219699845368945,0,No data,No data,0,0.5,0,,,0.1352654803245991
BTK,4,Spebrutinib,0.1276160735845149,1,1,0,1,1,1,0.9165399999999998,1,-0.9771827464055012,-0.5041779802036722,0,-1,-1,0,0.5,0,,,0.06690946326645572
DHFR,4,Methotrexate,0.6058570380150048,1,0,0,1,1,1,0.4919800000000002,0,-0.032090018753907046,-0.8809592326689647,-1,-1,No data,-0.799465,-1,-1,,,0.11919157466958877
IL17A,4,Secukinumab,0.6266517379445911,1,0,1,1,1,0,0,No data,0.2833923734111272,-0.8363396721742761,0,No data,No data,0,0.5,1,,,0.4079217373980944
IL23A,4,Guselkumab,0.5785927330298171,1,0,1,0,0,0,0,No data,-0.24453011043967499,-0.7944718512949752,0,No data,No data,No data,1,0.5,,,0.18700969987209604
IL12B,4,Ustekinumab,0.6514207965202771,1,0,1,0,0,0,0,No data,0.01083559074807261,-0.7719200804355791,0,No data,No data,No data,0.5,1,,,0.15855829087264758
