symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
PPARG,4,"Rosiglitazone, Pioglitazone",0.8388380943672011,1,0,0,1,1,1,0.9157899999999998,1,-0.340070848,-0.981256083,0,-1,-1,0,0.5,0,,,0.5257328446648277
GLP1R,4,Exenatide,0.7493562154225061,1,1,0,1,1,0,0.60043,No data,-0.576682642,-0.271112731,0,-1,No data,0,0.5,0.5,,,0.15987236801234153
KCNJ11,4,"Glimepiride, Gliclazide, Tolbutamide, Mitiglinide, Chlorpropamide, Nateglinide, Glipizide, Repaglinide, Glyburide, Mitiglinide Calcium Dihydrate, Tolazamide",0.8542453368962036,1,0,0,1,1,0,0.7948700000000002,1,0.3572619295686601,-0.825679391,0,-1,No data,-0.24359,0.5,0,,,0.8530625168368585
ABCC8,4,Tolazamide,0.8521969044658408,1,0,0,1,1,0,0.7722949999999997,1,-0.179204001,-0.263614216,0,-1,No data,-0.1919675,0.75,0,,,1
SLC5A2,4,Empagliflozin,0.6339631036596567,1,1,0,1,1,0,0.5238100000000003,1,0.26234632215044806,-0.350887558,0,No data,No data,0,1,0.5,,,0.1351670741480594
PPARA,4,"Fenofibrate, Chiglitazar",0.6051993583578331,1,0,0,1,1,1,0.6046999999999997,1,-0.343196499,-0.958873534,0,-1,No data,0,0.5,-1,,,0.1584439182455733
INSR,4,Insulin,0.7769073875763008,1,1,0,1,1,1,0.7250349999999998,1,-0.556157533,-0.921257613,0,-1,No data,0,-1,-1,,,0.6742939753142404
IGF1,4,Mecasermin,0.115046418,0.5,0,1,0,0,0,0,No data,-0.129714524,-0.948873508,0,-1,No data,0,0.5,0,,,0.2745120824726632
DPP4,4,"Sitagliptin, Saxagliptin, Linagliptin, Alogliptin",0.6461939295940036,1,1,1,1,1,1,0.22323999999999983,1,-0.359033132,-0.884274463,0,No data,No data,0,0.5,0,,,0.1986659240698283
GIPR,4,Tirzepatide,0.6783736806232762,1,0,0,1,1,0,0,No data,0.7968326734736404,-0.19191868,0,-1,No data,0,0.5,0,,,0.095104354
DRD2,4,Bromocriptine,0.5830341643070023,1,1,0,1,1,0,0.7855550000000001,1,-0.575224005,-0.955219975,0,-1,No data,0,0.75,0,,,0.10439785865347659
AMY2A,4,Acarbose,0.6008536450138117,1,0,1,1,1,0,No data,No data,0.7364034173786205,No data,0,No data,No data,-0.970645,1,0,,,0.051388387
SIRT1,2,SRT-2104,0.1215834006929244,0.5,0,0,1,1,0,0.31057500000000005,No data,-0.49426964,-0.971563986,0,-1,No data,0,-1,-1,,,0.13705446107427113
GCK,2,Dorzagliatin,0.8486212426302246,0.75,0,0,1,1,1,0.7957000000000001,1,-0.56980621,-0.922364678,0,No data,No data,0,0.5,0,,,0.914394235
MTTP,2,SLX-4090,0.076222355,1,0,0,0,1,0,0.20581499999999978,0,-0.393206918,-0.881189885,0,-1,No data,No data,0.75,0.5,,,0.1634797240476809
PRKCB,2,Ruboxistaurin,0.084557234,1,0,0,1,1,0,0.9405650000000001,0,-0.988956033,-0.196430798,0,-1,No data,-0.5059425,0.5,0,,,0.12157557727883285
FGF1,2,Pegbelfermin,0.1053080902893116,0.75,0,1,1,1,0,0.7741950000000003,0,-0.058553865,No data,0,No data,No data,0,1,0,,,0.075857232
LYN,2,Tolimidone,0.1077735920688888,1,1,0,1,1,1,0.8046900000000001,1,-0.861116899,-0.833960871,0,-1,No data,-0.2578125,0.5,-1,,,0.062355221487483244
CCR2,2,Ilacirnon,0.1104314069080967,0.75,1,0,1,1,0,0,1,0.082517191,-0.965581722,0,No data,No data,-0.29861,0.5,0,,,0.10506246088789428
FFAR1,2,Fasiglifam,0.3343376909635029,0.75,1,0,1,1,0,0.15,1,0.7241091894144613,-0.794557518,0,No data,No data,0,0.75,0.5,,,0.06781024
TSHZ3,0,Soft negative,0.4061204789637053,No data,1,0,0,0,0,0.7548549999999998,No data,-0.779016462,-0.675703665,0,No data,No data,0,0.5,-1,TSHZ,0.42158899144589823,0.015468512482192944
CRYBA1,0,Soft negative,0.1207453216483807,No data,No data,No data,0,0,0,0.7674399999999999,No data,0.11627422379662433,-0.632939079,0,No data,No data,0,No data,No data,CRYBA,0.1513113716605021,0.03056605
HK2,0,Soft negative,0.021568434,No data,0,0,1,1,1,0.7110149999999997,No data,-0.516774328,No data,0,No data,No data,-0.3347875,0.5,-1,HK,0.13245620316851126,0.11088776872275306
C2,0,Soft negative,0.036957985,No data,0,1,0,1,0,0,No data,0.14721817045217755,No data,0,No data,No data,0,1,0,C,0.12084684221993885,0.083888857
ADAMTS7,0,Soft negative,0.012935295,No data,0,1,0,0,0,0,No data,-0.322879767,-0.880312297,0,No data,No data,0,1,0,ADAMTS,0.05921174,0.046276445
XYLT2,0,Soft negative,0.003695799,No data,0,1,0,0,0,0.6762999999999998,No data,-0.702125443,-0.856074114,0,-1,No data,0,1,-1,XYLT,0.062876278,0.059180479557500394
ITIH4,0,Soft negative,0.033138162,No data,0,1,0,0,0,0,No data,-0.175661596,No data,0,No data,No data,0,1,0,ITIH,0.089230821,0.05609266
RAB31,0,Soft negative,0.2612055145206338,No data,0,0,0,0,0,0.6666649999999997,No data,0.2621379454052928,0,0,No data,No data,-0.26923,-1,-1,RAB,0.27740790187645353,0.016202387
PPP1R18,0,Soft negative,0.007453194,No data,1,0,0,0,0,0,No data,-0.297457804,0,0,-1,No data,0,-1,-1,PPP,0.021884100919164276,0.014430907183022878
AHCY,0,Soft negative,0.002217479,No data,0,0,1,1,1,0.8495350000000002,No data,-0.358928944,-0.784817178,0,No data,No data,0,-1,-1,AHCY,0.042006833427957066,0.039789354
SLC22A4,0,Soft negative,0.020842867,No data,0,0,0,0,0,0.25589999999999974,No data,0.084913524,-0.54896233,0,No data,No data,-0.4192375,0.5,0,SLC,0.067409599,0.046566732
ATP5ME,0,Soft negative,0.003695799,No data,0,0,0,0,0,0.2753599999999999,No data,0.5138570535528235,No data,0,No data,No data,No data,0.5,-1,ATP,0.047961409148815366,0.044265611
TSPAN15,0,Soft negative,0.1783330419891555,No data,1,0,0,0,0,0.5918349999999997,No data,-0.158053761,No data,0,No data,No data,0,-1,-1,TSPAN,0.18787306485453975,0.009540023
MLLT3,0,Soft negative,0.2299288976879311,No data,0,0,1,1,0,0.92958,1,-0.95707439,-0.809071852,0,No data,No data,0,-1,-1,MLLT,0.2524159404002969,0.022487043
OARD1,0,Soft negative,0.1446012405038339,No data,0,0,0,0,0,0.7697350000000001,No data,0.48499687434882266,No data,0,No data,No data,No data,-1,-1,OARD,0.15487992413928786,0.010278683635453941
POU5F1,0,Soft negative,0.2432714450588091,No data,0,0,0,0,0,0.15277999999999992,No data,-0.70233382,No data,0,-1,-1,-0.8958325,0.5,0,POU,0.31816014727209785,0.074888702
TENM3,0,Soft negative,0.007391597,No data,0,0,0,0,0,0.9166350000000001,No data,-0.806313815,-0.43428574,0,No data,No data,-0.256205,0.5,0,TENM,0.024404058228429334,0.017012461134735334
MAPK7,0,Soft negative,0.00532811,No data,0,0,1,1,0,0.5649500000000003,1,-0.365909564,-0.958745608,0,No data,No data,0,-1,-1,MAPK,0.046544481736023546,0.041216372
TSC2,0,Soft negative,0.008261752,No data,0,0,0,0,0,0.5766449999999999,No data,-0.991977495,-0.958298263,0,No data,-1,0,-1,-1,TSC,0.39939861487558687,0.39113686254625185
NUDT12,0,Soft negative,0.032250477,No data,0,0,0,0,0,0.3939399999999999,No data,0.47926651385705354,No data,0,No data,No data,0,-1,0,NUDT,0.054495621,0.022245143524369435
ZBTB7A,0,Soft negative,0.033262187,No data,0,0,0,0,0,0.35787499999999994,No data,-0.717232757,-0.423445154,0,No data,No data,0,-1,-1,ZBTB,0.05017995,0.016917763
IGFBP5,0,Soft negative,0.063994595,No data,0,1,0,1,0,0.7242649999999997,No data,-0.768806001,No data,0,No data,No data,0,0.5,0,IGFBP,0.12373105673487414,0.059736461774760836
TENM4,0,Soft negative,0.001847899,No data,1,0,0,0,0,0.8031799999999997,No data,-0.918420504,-0.881333711,0,No data,No data,-0.169375,0.5,0,TENM,0.019018104153621436,0.017170204880197937
PHF13,0,Soft negative,0.246224596,No data,0,0,0,0,0,0.6166649999999997,No data,-0.826109606,-0.830307162,0,No data,No data,0,-1,-1,PHF,0.2552238895818246,0.008999294
AGRN,0,Soft negative,0.010964202,No data,1,1,0,0,0,0.022005000000000052,No data,-0.580954365,-0.866097068,0,No data,No data,0,-1,0,AGRN,0.069273417,0.058309214
XRRA1,0,Soft negative,0.2127756639237523,No data,0,0,0,0,0,0,No data,-0.157428631,No data,0,No data,No data,No data,-1,-1,XRRA,0.2241338360005853,0.011358172
MDH2,0,Soft negative,0.004619748,No data,0,0,0,1,1,0.5857999999999997,No data,-0.128464263,-0.792315908,0,No data,No data,0,0.5,-1,MDH,0.064131077,0.059511329
RNASE7,0,Soft negative,0.001478319,No data,0,1,0,0,0,No data,No data,0.8563242342154616,No data,0,No data,No data,-0.4230775,0.75,0.5,RNASE,0.013622492352582796,0.012144172933843997
MTRR,0,Soft negative,0.010717816,No data,0,0,0,0,0,0,No data,0.091269014,-0.56186404,0,-1,No data,0,-1,-1,MTRR,0.13061487428409688,0.11989705849824057
AGMO,0,Soft negative,0.3063364714589403,No data,0,0,0,0,0,0.16854000000000013,No data,0.7590122942279642,0,0,No data,No data,No data,1,0.5,AGMO,0.3394736542174627,0.033137182758522406
HNF1A,0,Hard negative,0.7398648615347108,No data,0,0,0,0,0,0.7305849999999999,No data,-0.71577412,-0.947622819,0,No data,-1,0,0.75,0.5,HNF,1.572836681530353,0.8329718199956422
INS,0,Hard negative,0.5920315123788396,No data,0,1,0,0,0,0.09091,No data,0.316941029,-0.965948057,0,No data,No data,0,1,0,INS,1.5329539576591493,0.9409224452803099
GLIS3,0,Hard negative,0.5519780553462443,No data,0,0,0,0,0,0.19892499999999985,No data,-0.215253178,-0.706507933,0,No data,No data,0,0.5,0,GLIS,0.8829493369516122,0.3309712816053679
PTPN22,0,Hard negative,0.3371614427589735,No data,1,0,1,1,0,0,No data,0.2202542196290893,-0.777709679,0,No data,No data,0,0.5,0,PTPN,0.6585801499024226,0.32141870714344917
PPP1R3A,0,Hard negative,0.4112465206800421,No data,0,0,0,0,0,0,No data,0.12169201917066053,-0.23782408,0,No data,No data,0,0.75,0.5,PPP,0.6788045272354564,0.2675580065554143
CDKN2B,0,Hard negative,0.5159424646969821,No data,0,0,0,0,0,0.13043499999999994,No data,0.8534069597832883,-0.478271176,0,No data,No data,-0.4565225,0.5,0,CDKN,0.6864236421679034,0.17048117747092129
RFX6,0,Hard negative,0.5170642861546401,No data,0,0,0,0,0,0.3696100000000001,No data,-0.529902063,-0.684462159,0,No data,No data,0,0.75,0.5,RFX,0.6915003478366905,0.17443606168205042
SLC2A4,0,Hard negative,0.4114515383961896,No data,1,0,0,1,0,0.7544199999999996,No data,-0.164826005,-0.935221199,0,No data,No data,-0.0815325,0.5,0,SLC,0.7533090093909576,0.34185747099476793
LPL,0,Hard negative,0.4387966837406764,No data,0,1,1,1,0,0.6421050000000001,No data,0.228068348,-0.910245154,0,-1,No data,0,0.5,0,LPL,0.7670599836514715,0.3282632999107952
APOE,0,Hard negative,0.4173395502505156,No data,0,1,0,0,0,0,No data,0.1554490518858096,-0.983235008,0,-1,No data,0,0.75,-1,APOE,0.7795493121675968,0.3622097619170812
TTN,0,Hard negative,0.3204635874796228,No data,0,0,0,0,0,0.47806500000000013,No data,-0.68628881,-0.979209516,0,No data,No data,No data,0.5,0,TTN,0.7813624505763889,0.4608988630967661
INS-IGF2,0,Hard negative,0.3745335620248735,No data,0,1,0,0,0,No data,No data,0.16565951239841636,No data,No data,No data,No data,No data,1,0.5,INS,0.7848226316917314,0.4102890696668579
