Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
npc1l1,1.0,0.5,1.0,0.5,1.0,-0.5,0.5,-1.0,1.0,0.5,1.0,0.0,0.5,
p2ry12,0.5,1.0,1.0,1.0,1.0,0.0,-1.0,0.5,1.0,0.0,1.0,0.5,0.5,
adrb1,0.0,-0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
f10,0.5,-0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,-0.5,
pcsk9,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,
hmgcr,1.0,1.0,1.0,0.5,1.0,-1.0,0.0,-1.0,1.0,0.5,1.0,0.5,-0.5,
ptgs2,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,-0.5,0.5,1.0,0.5,-0.5,
lpa,1.0,0.5,1.0,0.5,1.0,-0.5,1.0,0.0,-0.5,1.0,0.5,1.0,0.5,
adrb2,0.5,-0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
ptgs1,0.5,-0.5,0.5,0.5,0.5,-1.0,-0.5,0.5,0.5,1.0,1.0,0.0,-1.0,
angptl3,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,-0.5,0.5,1.0,1.0,0.5,
ace,1.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.5,-0.5,0.5,1.0,1.0,-0.5,
gpd2,0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,1.0,-0.5,0.0,
kcnj11,0.0,0.0,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
scnn1a,0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,0.0,0.5,1.0,0.0,-0.5,
ndufs6,0.0,-0.5,0.0,0.5,0.5,-1.0,-0.5,1.0,1.0,1.0,0.5,0.5,0.0,
