Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
il12b,-0.5,1.0,0.5,0.5,-0.5,1.0,0.5,0.5,-0.5,0.5,1.0,1.0,0.5,
jak2,0.5,1.0,0.5,0.5,1.0,0.0,0.0,-0.5,0.0,0.5,1.0,0.5,-0.5,
jak3,0.5,0.5,0.5,1.0,1.0,-1.0,0.5,-1.0,0.5,0.5,1.0,-0.5,-0.5,
tnf,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,-1.0,-1.0,1.0,1.0,-0.5,
il23a,1.0,0.5,0.5,-0.5,1.0,0.5,-0.5,0.5,1.0,0.5,0.5,
jak1,0.0,1.0,1.0,1.0,1.0,-1.0,0.5,-0.5,0.5,0.5,1.0,0.0,-0.5,
tnfsf15,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,-0.5,0.5,1.0,1,-0.5,
il17a,0.5,1.0,0.5,-0.5,0.5,1.0,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,
itga4_itgb7,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,-1.0,0.5,1.0,0.5,-0.5,
ptgs1,0.0,-0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,
alox5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,
s1pr1,0.5,1.0,1.0,0.5,1.0,1.0,0.5,-0.5,1.0,0.5,1.0,0.5,-0.5,
s1pr5,0.0,-0.5,0.5,1.0,-0.5,0.0,0.5,-0.5,1.0,0.5,1.0,0.0,0.0,
s1pr4,0.5,0.5,0.5,1.0,0.5,0.0,-0.5,-0.5,1.0,0.5,1.0,0.0,-0.5,
sglt2,0.0,0.0,0.5,0.5,1.0,-0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
cd40lg,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,
icam1,0.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,-0.5,
il13,0.0,1.0,0.5,-0.5,0.0,1.0,0.5,1.0,-0.5,1.0,1.0,0.5,-0.5,
cd3e,0.0,-0.5,0.5,0.5,-1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,-0.5,
smad7,1.0,1.0,1.0,1.0,-0.5,0.0,0.5,1.0,-0.5,0.5,1.0,-0.5,0.5,
pkhd1,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,
il23r,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,
lrrk2,1.0,1.0,1.0,0.5,1.0,-0.5,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
inava,1.0,1.0,0.5,0.5,-0.5,-0.5,1.0,0.5,0.5,0.5,1.0,0.0,-0.5,
iah1,0.0,-0.5,0.0,0.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0
atg16l1,1.0,1.0,1.0,0.5,0.5,0.0,-0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
irgm,0.5,1.0,0.5,0.5,-0.5,-1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,
irf5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
galc,0.0,-0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,
card8,1.0,-0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.0,-0.5,
bach2,1.0,1.0,1.0,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
xiap,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,
smad3,1.0,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
hspa1l,0.5,-0.5,0.5,0.5,0.5,-0.5,0.0,1.0,1.0,1.0,1.0,0.5,-0.5,
apoe,0.0,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,1.0,1.0,1.0,-0.5,0.0,
