Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
hfe,0.5,-0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,-0.5,1.0,0.5,-0.5,
pparg,0.0,1.0,1.0,1.0,1.0,-0.5,0.0,-1.0,0.5,0.5,1.0,-0.5,0.5,
serpina1,1.0,0.5,1.0,0.5,-0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,
tm6sf2,1.0,1.0,1.0,0.5,-1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,-0.5,
il12rb1,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,
cideb,1.0,1.0,0.0,0.5,0.0,-1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,
mttp,0.5,0.5,1.0,0.5,1.0,-1.0,1.0,0.0,0.5,0.5,1.0,0.0,-0.5,
apoe,1.0,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,1.0,0.0,1.0,0.5,-0.5,
mtarc1,0.5,0.5,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,
gckr,0.5,0.5,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.0,1.0,0.5,-0.5,
cd19,0.0,0.0,-0.5,0.0,0.0,1.0,-1.0,1.0,1.0,-1.0,0.5,0.0,-1.0,
gpam,1.0,-0.5,1.0,0.5,0.5,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,
pnpla3,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.5,
apoh,0.0,1.0,0.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,
cfh,0.0,-0.5,0.0,0.5,-1.0,-1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,
abcc2,0.5,-0.5,0.5,0.0,-0.5,0.0,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5,
ac022431.2,0.0,0.0,0.5,0.0,-1.0,-1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,
vasn,0.0,-0.5,0.5,0.0,-0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,-0.5,
rtel1,0.0,-0.5,0.5,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
pam,0.0,-0.5,0.0,0.5,0.5,0.0,-1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,
dcaf12,0.0,-0.5,0.0,0.5,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,-0.5,
mlxip,0.0,1.0,0.0,0.5,0.0,-1.0,0.0,0.5,1.0,0.0,1.0,-0.5,0.5,
map3k1,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,-0.5,-0.5,
eri1,0.0,-0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,1.0,0.5,1.0,-0.5,0.0,
lpl,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,
cd248,0.0,1.0,0.5,0.5,-1.0,0.5,-0.5,0.5,0.5,1.0,0.0,0.0,0.5,
frat2,0.0,0.0,0.5,0.0,-0.5,-1.0,0.5,1.0,1.0,1.0,1.0,-0.5,0.0,
ski,0.0,-0.5,0.0,0.0,-0.5,-1.0,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,
prmt6,0.0,1.0,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,
l3mbtl3,0.0,-0.5,-0.5,0.0,0.5,-1.0,0.0,0.5,-1.0,-0.5,0.5,0.5,0.0,
traf3,0.0,1.0,0.5,0.5,-0.5,-1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,
ac007382.1,0.0,-0.5,0.0,0.0,-1.0,-1.0,-1.0,0.5,1.0,0.0,-1.0,0.5,0.0,
ptpn23,0.0,-0.5,0.5,0.5,0.0,0.0,-1.0,0.5,0.0,0.0,1.0,0.0,-1.0,
ccdc92,0.0,-0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,
