Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
egfr,1.0,-0.5,1.0,1.0,1.0,1.0,0.5,-1.0,-0.5,1.0,1.0,0.5,-1.0,
erbb2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,-0.5,
alk,1.0,0.0,1.0,1.0,1.0,1.0,0.5,-1.0,0.5,-0.5,1.0,0.0,-0.5,
braf,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,0.0,0.5,0.5,1.0,0.5,-0.5,
kras,1.0,-0.5,1.0,1.0,1.0,-1.0,0.0,-0.5,0.5,0.5,1.0,0.5,1.0,
met,1.0,1.0,1.0,1.0,1.0,1.0,0.5,-1.0,-0.5,0.5,1.0,0.5,-0.5,
ret,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,
ros1,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,
pik3ca,1.0,-0.5,1.0,0.5,1.0,-0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.5,
kdr,0.5,0.0,1.0,0.5,1.0,1.0,0.5,-0.5,-0.5,0.5,1.0,0.5,-0.5,
ntrk1,1.0,-0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,
cd274,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,-0.5,0.5,1.0,0.0,1.0,
ntrk2,0.0,0.0,0.5,0.5,1.0,0.0,-0.5,0.0,1.0,0.5,1.0,0.0,-1.0,
ntrk3,0.5,-0.5,0.5,1.0,1.0,0.5,-1.0,0.0,0.5,0.5,1.0,0.0,0.5,
fgfr2,1.0,-0.5,1.0,0.5,1.0,1.0,0.5,0.0,-0.5,1.0,1.0,0.0,-0.5,
fgfr3,1.0,-0.5,1.0,0.5,1.0,1.0,-0.5,0.0,0.5,0.5,1.0,0.5,0.5,
fgfr1,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,-0.5,
lag3,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,-0.5,0.5,1.0,0.5,0.5,
prkca,0.5,1.0,1.0,0.5,1.0,-1.0,-1.0,0.0,0.0,0.5,1.0,0.5,-0.5,
abcb1,1.0,0.5,1.0,0.5,1.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
cdkn2a,1.0,-0.5,1.0,0.5,0.0,-1.0,0.5,0.0,0.5,0.5,0.5,0.0,-0.5,
stk11,1.0,-0.5,1.0,0.5,0.5,-1.0,0.5,0.5,-0.5,0.5,1.0,1.0,-0.5,
pten,1.0,-0.5,1.0,0.5,0.5,-0.5,0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
atm,1.0,-0.5,1.0,0.5,1.0,0.5,0.5,0.0,-0.5,0.5,1.0,-0.5,0.5,
rb1,1.0,-0.5,0.5,0.5,0.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,
brca1,1.0,-0.5,0.5,0.5,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.5,
dicer1,1.0,1.0,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,
mlh1,0.5,1.0,1.0,0.5,0.0,-1.0,-0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
apc,1.0,-0.5,1.0,0.0,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,-0.5,0.0,
smarca4,1.0,-0.5,1.0,0.5,1.0,-1.0,0.0,0.0,0.5,0.5,1.0,0.0,-0.5,
nrg1,1.0,-0.5,1.0,0.5,0.0,1.0,0.5,0.5,-0.5,0.5,1.0,0.0,1.0,
smad4,1.0,1.0,1.0,0.5,0.5,-0.5,0.0,0.5,1.0,1.0,1.0,0.0,-1.0,
ptch1,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,-0.5,
brca2,0.5,-0.5,0.5,1.0,1.0,-1.0,0.0,-0.5,0.5,1.0,1.0,0.5,-0.5,
fbxw7,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,-0.5,
tp63,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.0,0.0,0.5,1.0,0.0,-0.5,
cdh1,1.0,-0.5,0.5,0.5,0.5,0.0,-0.5,1.0,1.0,1.0,0.5,0.5,0.0,
setd2,1.0,-0.5,1.0,0.5,0.5,-1.0,-1.0,0.0,1.0,0.5,1.0,0.0,0.0,
myc,1.0,1.0,1.0,1.0,0.5,-1.0,0.5,0.0,0.5,1.0,1.0,0.5,-0.5,
palb2,0.5,-0.5,0.5,0.5,0.0,-1.0,-0.5,1.0,0.5,0.5,1.0,-0.5,-0.5,
nkx2-1,0.5,1.0,1.0,0.5,0.5,-0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,
tsc2,1.0,-0.5,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,-0.5,-0.5,
nf1,1.0,1.0,1.0,0.5,0.0,-1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,
u2af1,1.0,-0.5,1.0,0.5,1.0,-0.5,0.0,0.5,0.5,0.5,1.0,-0.5,0.0,
arid1a,1.0,-0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,1.0,-0.5,-0.5,
msh2,0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.0,1.0,-0.5,0.0,
fas,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,-0.5,
kmt2d,1.0,-0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.5,
msh6,0.5,-0.5,0.5,0.5,0.0,-1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,
ep300,1.0,1.0,1.0,0.5,1.0,-1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,
b2m,0.5,-0.5,0.5,0.5,-1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,-0.5,
rbm10,0.5,-0.5,1.0,0.5,-0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.5,
mxra5,1.0,-0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,
rhoa,1.0,1.0,1.0,0.5,0.5,-1.0,0.0,0.5,1.0,0.5,0.5,-0.5,-0.5,
pms2,1.0,-0.5,1.0,1.0,0.5,-1.0,0.5,0.5,-1.0,0.0,1.0,0.5,-0.5,
bard1,0.5,-0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.0,
gnas,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
brip1,0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,1.0,0.5,0.5,0.0,-0.5,
tgfbr2,1.0,1.0,1.0,0.5,1.0,1.0,-0.5,0.5,-0.5,0.5,1.0,0.0,-0.5,
nbn,0.5,-0.5,0.5,1.0,-0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,
rhov,0.5,1.0,1.0,0.5,-0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
lrrc1,0.5,-0.5,0.5,0.5,0.0,-1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,
kif21b,1.0,1.0,1.0,0.5,-1.0,-1.0,-0.5,1.0,1.0,1.0,0.5,0.0,-0.5,
them4,0.0,0.0,0.5,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,
rbbp4,0.5,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,
linc00958,1.0,-0.5,1.0,0.5,-1.0,-1.0,0.5,1.0,1.0,0.5,0.5,0.0,-0.5,
usp17l9p,0.0,0.0,0.0,0.5,-1.0,-1.0,0.0,1.0,0.5,1.0,0.5,-0.5,0.0,
vdac3,0.0,-0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,
prdm16-dt,0.0,0.0,0.0,0.0,-1.0,-1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,
usp49,0.5,-0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,
serpinb3,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,
ftx,0.5,1.0,0.5,0.5,-1.0,-1.0,0.0,0.0,0.0,0.5,1.0,0.0,-1.0,
il36rn,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,-0.5,
gclc,0.5,-0.5,1.0,0.5,0.0,-1.0,0.5,0.5,-1.0,1.0,1.0,0.0,0.0,
mir2052hg,0.5,0.0,-0.5,0.5,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.5,0.0,
ndc80,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,
ext1,0.5,-0.5,0.5,0.5,0.5,-0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,
trim11,0.5,1.0,0.5,0.5,-0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,
pral,-0.5,-0.5,0.5,1.0,-1.0,-1.0,0.0,-0.5,1.0,0.5,0.5,0.5,0.0,
dnm2,0.5,-0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,-0.5,
ing1,0.5,-0.5,0.5,0.0,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,
serpinb7,0.0,1.0,0.0,0.0,-0.5,-0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.0,
ptpn6,0.5,1.0,0.5,0.5,0.5,-0.5,0.0,0.5,0.5,0.5,1.0,-0.5,-0.5,
arid1b,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,1.0,1.0,0.5,-0.5,
emp1,0.0,-0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
chd8,0.0,-0.5,0.0,0.0,0.5,-0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,
cthrc1,0.5,1.0,1.0,0.5,-0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.5,
eno1,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
rab14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
tbx4,0.0,1.0,0.5,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
linc00667,1.0,1.0,1.0,0.5,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
