Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
cd80,0.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,-1.0,0.5,1.0,0.5,1.0,
il1r1,0.5,-0.5,-0.5,1.0,1.0,1.0,0.5,0.5,-0.5,0.5,1.0,0.0,1.0,
jak2,0.0,1.0,0.5,0.5,1.0,-1.0,0.0,-1.0,0.5,0.5,1.0,0.0,-1.0,
jak3,0.5,1.0,0.5,1.0,1.0,-0.5,0.5,-1.0,1.0,0.5,1.0,0.0,-0.5,
cd86,0.5,1.0,1.0,1.0,-0.5,1.0,0.5,0.5,-1.0,0.5,1.0,1.0,1.0,
btk,0.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,-0.5,0.5,1.0,0.5,-0.5,
dhfr,0.0,-0.5,0.5,0.5,1.0,-1.0,1.0,-1.0,0.5,-0.5,1.0,0.5,-0.5,
il17a,1.0,1.0,1.0,0.5,1.0,1.0,-1.0,0.0,-0.5,0.5,1.0,1.0,1.0,
il23a,0.0,1.0,0.5,1.0,-1.0,1.0,-0.5,1.0,-0.5,0.5,1.0,0.5,0.0,
il12b,0.5,-0.5,0.5,1.0,-0.5,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,
tyk2,0.5,-0.5,0.5,1.0,1.0,-0.5,0.0,0.0,1.0,0.5,1.0,0.5,-0.5,
syk,1.0,-0.5,1.0,1.0,1.0,-1.0,0.5,-0.5,0.5,0.5,1.0,0.5,-0.5,
csf2,0.5,1.0,1.0,1.0,0.5,1.0,-0.5,0.0,0.0,0.5,1.0,0.5,0.5,
pde4a,0.0,-0.5,0.5,1.0,1.0,-1.0,-0.5,0.0,1.0,0.5,1.0,0.5,0.5,
tnfsf11,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,
tnf,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,-1.0,0.5,1.0,0.5,-0.5,
irak4,0.0,-0.5,0.5,0.5,1.0,0.5,0.5,0.0,-0.5,0.5,1.0,0.5,0.5,
mapk14,0.0,-0.5,0.5,0.5,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-0.5,-0.5,
p2rx7,1.0,-0.5,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,-0.5,1.0,
mif,0.5,1.0,1.0,0.5,1.0,1.0,0.0,-1.0,0.0,0.5,1.0,0.5,0.5,
kng1,0.0,-0.5,0.5,0.5,-0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,-0.5,
suco,0.0,-0.5,0.0,0.0,-1.0,-0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0,
