Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
pparg,1.0,1.0,1.0,1.0,1.0,-1.0,0.5,-1.0,1.0,0.5,1.0,0.0,-0.5,
glp1r,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,-0.5,0.5,1.0,0.5,1.0,
kcnj11,1.0,-0.5,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.5,0.5,1.0,0.0,-0.5,
abcc8,0.5,1.0,1.0,1.0,1.0,-1.0,0.5,-1.0,0.0,1.0,0.5,-0.5,1.0,
slc5a2,0.0,1.0,1.0,1.0,1.0,-1.0,0.5,-1.0,1.0,0.5,1.0,0.5,-0.5,
ppara,0.5,-0.5,0.5,0.5,1.0,-1.0,0.5,-1.0,1.0,0.5,1.0,0.5,0.5,
insr,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,-0.5,
igf1,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,-0.5,0.5,1.0,0.5,-0.5,
dpp4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-0.5,0.0,1.0,1.0,-0.5,
gipr,0.5,1.0,1.0,1.0,1.0,1.0,0.5,-1.0,-0.5,0.5,1.0,0.5,1.0,
drd2,0.5,0.0,0.5,0.5,1.0,-1.0,-1.0,-0.5,0.5,0.5,1.0,0.5,-0.5,
amy2a,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,
sirt1,1.0,1.0,1.0,0.5,1.0,-1.0,0.5,0.0,0.5,0.5,1.0,0.5,-0.5,
gck,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-0.5,0.5,0.5,1.0,0.5,1.0,
mttp,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,-0.5,
prkcb,0.5,1.0,0.5,0.5,1.0,-1.0,-0.5,0.0,0.5,0.5,1.0,0.0,-0.5,
fgf1,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
