symbol,DiseaseSpecific_ClinicLabel,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,DiseaseSpecific_ClinicLabel,drug_information,GeneFamily,score,GeneCard_Score
IL12B,1,0.71030611,1,0,1,0,0,0,0,No data,0.010835591,-0.77192008,0,No data,No data,No data,0.5,1,4,Positive Control,,,0.205432388
JAK2,1,0.700745424,1,1,0,1,1,1,0.686395,1,-0.703167327,-0.888065276,0,-1,-1,0,-1,-1,4,Positive Control,,,0.203090212
JAK3,1,0.657900687,1,1,0,1,1,1,0.101425,1,-0.463638258,-0.882815822,0,No data,-1,0,0.5,0,4,Positive Control,,,0.116338462
TNF,1,0.6469767,1,1,1,1,1,1,0,0,-0.513857054,-0.982731011,0,-1,No data,0,0.5,0,4, Positive Control,,,0.609805222
IL23A,1,0.594535774,1,0,1,0,0,0,0,No data,-0.24453011,-0.794471851,0,No data,No data,No data,1,0.5,4, Positive Control,,,0.146888983
JAK1,1,0.576479392,1,0,0,1,1,0,0.722705,1,-0.871431548,-0.940474614,0,No data,-1,0,-1,-1,4, Positive Control,,,0.112024294
TNFSF15,1,0.571638006,No data,0,1,0,0,0,0,No data,0.052823505,0,0,No data,No data,0,0.5,0,4, Positive Control,,,0.150703803
IL17A,1,0.146915663,1,0,1,1,1,0,0,No data,0.283392373,-0.836339672,0,No data,No data,0,0.5,1,4, Positive Control,,,0.271253975
ITGA4_ITGB7,1,0.709123984,1,1,0,1,1,0,0.244185,No data,-0.530839758,-0.884462747,0,No data,No data,0,0.75,0,4,VEDOLIZUMAB approved,,,0.135696321
PTGS1,1,0.619182208,1,0,0,1,1,0,0.48247,1,-0.157845384,-0.939736942,0,-1,No data,-0.0358925,0.5,0,4,BALSALAZINE for IBD,,,0.169161711
ALOX5,1,0.61517119,1,0,0,1,1,0,0.651335,0,-0.338924776,-0.274953224,0,No data,No data,0,0.5,0,4,BALSALAZINE for IBD,,,0.175803935
S1PR1,1,0.592197513,1,0,0,1,1,0,0.71204,1,-0.4372786,-0.948049727,0,No data,No data,0,-1,-1,4,Etrasimod for ulcerative colitis,,,0.041225546
S1PR5,1,0.550328509,1,1,0,1,1,0,0.24623,No data,0.154511357,0,0,No data,No data,0,0.5,0,4,Etrasimod for ulcerative colitis,,,0.041225546
S1PR4,1,0.543791237,1,0,0,1,1,0,0.10156,1,0.446759742,0,0,No data,No data,0,0.5,0,4,Etrasimod for ulcerative colitis,,,0.041225546
CD40LG,1,0.116806027,0.75,1,1,0,1,1,0,No data,-0.426859762,-0.718999424,0,No data,No data,0,0.75,0.5,2,RAVAGALIMAB for ulcerative colitis,,,0.191227785
ICAM1,1,0.38028077,0.75,1,0,1,1,0,0,No data,-0.356532611,-0.895699228,0,-1,No data,0,0.5,-1,2,ALICAFORSEN for IBD and Crohn,,,0.251312178
IL13,1,0.131594522,1,0,1,0,0,1,0,No data,0.703063138,-0.803998348,0,-1,No data,No data,1,1,2,QAX-576 for crohn,,,0.257702322
CD3E,1,0.302061467,1,1,0,0,0,0,0,No data,0.015628256,-0.636814439,0,No data,No data,0,1,0,2,VISILIZUMAB for crohn,,,0.038340214
SMAD7,1,0.424303019,0.75,0,0,0,0,0,0.906105,No data,-0.488956033,-0.942879531,0,No data,No data,0,-1,-1,2,MONGERSEN SODIUM for crohn,,,0.098010224
SGLT2,1,0.424303019,0.75,0,0,0,0,0,0.906105,No data,-0.488956033,-0.942879531,0,No data,No data,0,-1,-1,2,ELDELUMAB for IBD and crohn,,,0.098010224
PKHD1,0,0.337145282,No data,1,1,0,0,0,0,No data,-0.284121692,-0.974269495,0,No data,No data,0,0.75,0.5,0,Hard negative,PKHD,1.013715769,0.676570487
IL23R,0,0.582904543,No data,1,0,0,1,0,0,No data,-0.369451969,-0.259689503,0,-1,No data,0,0.5,0.5,0,Hard negative,IL,0.97389923,0.390994686
LRRK2,0,0.51749891,No data,0,0,1,1,0,0.331225,1,-0.333715357,-0.832767174,0,No data,No data,0,1,0,0,Hard negative,LRRK,0.913073608,0.395574697
INAVA,0,0.589866343,No data,0,0,0,0,0,0.377165,No data,-0.218587206,-0.031038826,0,No data,No data,0,0.5,0,0,Hard negative,INAVA,0.82871647,0.238850128
IAH1,0,0.49485441,No data,0,0,0,0,0,0.19355,No data,0.002917274,-0.600761152,0,No data,No data,No data,-1,-1,0,Hard negative,IAH,0.819596462,0.324742052
ATG16L1,0,0.462726889,No data,0,0,0,0,0,0.70346,No data,-0.728068348,-0.632939079,0,No data,No data,0,-1,-1,0,Hard negative,ATG,0.772886172,0.310159283
IRGM,0,0.502057093,No data,1,0,0,0,0,0,No data,No data,-0.71563318,0,No data,No data,0,No data,No data,0,Hard negative,IRGM,0.761380705,0.259323612
IRF5,0,0.483406985,No data,0,0,0,0,0,0.2607,No data,-0.382371327,-0.632939079,0,No data,No data,0,-1,0,0,Hard negative,IRF,0.759455099,0.276048113
GALC,0,0.479069773,No data,0,0,0,0,0,0.131385,No data,0.033757033,-0.917369741,0,No data,No data,No data,-1,-1,0,Hard negative,GALC,0.757043001,0.277973228
CARD8,0,0.509496427,No data,0,0,0,0,0,No data,No data,-0.040425089,No data,0,No data,No data,No data,-1,-1,0,Hard negative,CARD,0.751961553,0.242465126
BACH2,0,0.60173814,No data,0,0,0,0,0,0.500595,No data,-0.846530527,-0.35063214,0,No data,No data,0,0.75,0,0,Hard negative,BACH,0.700530476,0.098792337
XIAP,0,0.472047248,No data,1,0,1,1,0,0.4668,0,-0.660658471,-0.866701551,0,No data,No data,0,-1,-1,0,Hard negative,XIAP,0.686715156,0.214667908
SMAD3,0,0.519918673,No data,0,0,0,1,0,1,No data,-0.626172119,-0.87583006,0,No data,-1,-0.8058825,-1,-1,0,Hard negative,SMAD,0.684758343,0.16483967
HSPA1L,0,0.568659371,No data,0,0,0,0,0,0.73479,No data,0.382267139,No data,0,-1,No data,-0.73089,1,0,0,Hard negative,HSPA,0.670496674,0.101837303
APOE,0,0.263405966,No data,0,1,0,0,0,0,No data,0.155449052,-0.983235008,0,-1,No data,0,0.75,-1,0,Hard negative,APOE,0.66905004,0.405644074
FCGR2A,0,0.487547379,No data,1,0,0,0,0,0,No data,0.494686393,-0.911110559,0,No data,No data,-0.637225,0.5,-1,0,Hard negative,FCGR,0.661316218,0.173768839
