symbol,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,DiseaseSpecific_ClinicLabel,drug_information,GeneFamily,score,GeneCard_Score
EGFR,0.9107787999025166,1,1,1,1,1,1,0.5247950000000003,1,-0.6906647218170452,-0.985030929416498,0,-1,-1,0,0.5,0,4.0,"ERLOTINIB, GEFITINIB, OSIMERTINIB",,,0.9422079599065094
ERBB2,0.8581111661332301,1,1,0,1,1,1,0.37848499999999985,1,-0.6316941029381121,-0.9657330905881697,0,-1,No data,0,-1,-1,4.0,AFATINIB DIMALEATE,,,0.5584669601914316
ALK,0.8533259067941394,1,1,0,1,1,1,0.35185000000000033,1,-0.5622004584288394,-0.8168579577794307,0,No data,-1,0,0.5,0.5,4.0,"ALECTINIB, CRIZOTINIB, CERITINIB, LORLATINIB",,,0.43482255512117907
BRAF,0.8506349712762626,1,0,0,1,1,1,0.6083550000000002,1,-0.8778912273390289,-0.9692752647997038,0,-1,-1,0,-1,-1,4.0,"DABRAFENIB, TRAMETINIB",,,0.6087355382726155
KRAS,0.8473878348037929,1,0,0,1,1,0,0.5212749999999999,1,0.3895603250677224,-0.9759644324931324,-1,No data,-1,-0.6542549999999998,-1,-1,2.0,ADAGRASIB,,,0.6425688987842957
MET,0.8368754475829554,1,1,1,1,1,1,0.44604500000000014,1,-0.7492185872056678,-0.9465060062672134,0,-1,-1,0,0.5,0,4.0,"CAPMATINIB, CRIZOTINIB, TEPOTINIB",,,0.671670440360295
RET,0.7987690735979035,1,1,0,1,1,1,0.16965999999999964,1,-0.9630131277349447,-0.9425269638068248,0,No data,-1,0,0.5,0,4.0,"SELPERCATINIB, PRALSETINIB",,,0.31543965211577873
ROS1,0.7979684780019144,1,0,0,1,1,0,0.011104999999999875,0,0.2518232965201084,0,0,No data,-1,0,0.75,0.5,4.0,"CRIZOTINIB, REPOTRECTINIB",,,0.18335685975455046
PIK3CA,0.7574736301266145,1,0,0,1,1,1,0.9344549999999998,1,-0.9689518649718691,-0.9497914136347615,0,-1,-1,0,-1,-1,2.0,BUPARLISIB - phase ii,,,0.6293026740978056
KDR,0.7460019491121981,1,0,0,1,1,1,0.2809750000000001,1,-0.8257970410502188,-0.9047647928572822,0,-1,-1,0,-1,0,4.0,RAMUCIRUMAB,,,0.2083961901013701
NTRK1,0.7245685367830029,1,0,0,1,1,1,0.34044999999999986,1,-0.308189206084601,-0.8611362711768386,0,-1,-1,0,0.5,0.5,4.0,ENTRECTINIB,,,0.1611012425107032
CD274,0.6855718376722527,1,1,0,1,1,0,0,0,-0.13617420295894977,-0.7577508103051469,0,No data,No data,0,0.5,0,4.0,"ATEZOLIZUMAB, DURVALUMAB",,,0.2580472169160342
NTRK2,0.6565581841946745,1,1,0,1,1,0,0.6062049999999999,1,-0.9723900812669306,-0.9336029581546254,0,-1,No data,0,0.5,0,4.0,ENTRECTINIB,,,0.0826901380548487
NTRK3,0.6564419988153402,1,0,0,1,1,0,0.8629300000000001,1,-0.8126693061054386,-0.958446176466384,0,No data,-1,0,0.5,0,4.0,ENTRECTINIB,,,0.10458224640255512
